# list of object assets to load in this scene
[ASSETS]
Assets\Data\Graphics\mario.txt
Assets\Data\Graphics\brick.txt
Assets\Data\Graphics\boom_boom.txt
Assets\Data\Graphics\boom_boom_platform.txt
Assets\Data\Graphics\boss_explosion.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 4 = Coin, 5 = Platform, 36 = Boom_Boom, 50 = Portal
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	64	160

# BRICK 
1	0	8
1	0	24
1	0	40
1	0	56
1	0	72
1	0	88
1	0	104
1	0	120
1	0	136
1	0	152
1	0	168
1	0	184
1	16	8
1	16	24
1	16	40
1	16	56
1	16	72
1	16	88
1	16	104
1	16	120
1	16	136
1	16	152
1	16	168
1	16	184
1	32	8
1	32	24
1	32	40
1	32	56
1	32	72
1	32	88
1	32	104
1	32	120
1	32	136
1	32	152
1	32	168
1	32	184
1	48	8
1	48	24
1	48	40
1	48	56
1	48	72
1	48	88
1	48	104
1	64	8
1	64	24
1	64	40
1	64	56
1	64	72
1	64	88
1	64	104
1	80	8
1	80	24
1	80	40
1	80	56
1	80	72
1	80	88
1	80	104
1	96	8
1	96	24
1	96	40
1	96	56
1	96	72
1	96	88
1	96	104
1	96	8
1	96	24
1	96	40
1	96	56
1	96	72
1	96	88
1	96	104
1	112	8
1	112	24
1	112	40
1	112	56
1	112	72
1	112	88
1	112	104
1	128	8
1	128	24
1	128	40
1	128	56
1	128	72
1	128	88
1	128	104
1	144	8
1	144	24
1	144	40
1	144	56
1	144	72
1	144	88
1	144	104
1	160	8
1	160	24
1	160	40
1	160	56
1	160	72
1	160	88
1	160	104
1	176	8
1	176	24
1	176	40
1	176	56
1	176	72
1	176	88
1	176	104
1	456	8
1	456	24
1	456	40
1	456	56
1	456	72
1	456	88
1	456	104
1	456	120
1	456	136
1	456	152
1	456	168
1	456	184

# PLATFORM
5	0	208	32	32	15	37001	37001	37001

# BOOM BOOM
36	432	60


